02.06.2026 11:32:43 : Game initialised
02.06.2026 11:32:43 : My hero initialised
02.06.2026 11:32:48 : Someone else hero initialised
02.06.2026 11:33:01 : Enemy Bloodfly heard a sound coming from (5, 17)!
02.06.2026 11:33:09 : Player moved to (13, 7)
02.06.2026 11:33:10 : Player moved to (12, 7)
02.06.2026 11:33:10 : Player moved to (12, 6)
02.06.2026 11:33:11 : Player moved to (13, 6)
02.06.2026 11:33:11 : Player moved to (13, 5)
02.06.2026 11:33:12 : Player moved to (14, 5)
02.06.2026 11:33:12 : Player moved to (15, 5)
02.06.2026 11:33:13 : Player moved to (15, 6)
02.06.2026 11:33:13 : Player moved to (16, 6)
02.06.2026 11:33:14 : Player moved to (17, 6)
02.06.2026 11:33:14 : Player moved to (17, 5)
02.06.2026 11:33:14 : Player moved to (18, 5)
